POKEMON, PLAYER
TAPU KOKO, RYOTA OTSUBO
TAPU FINI, RYOTA OTSUBO
ALOLAN MAROWAK, RYOTA OTSUBO
CELESTEELA, RYOTA OTSUBO
KROOKODILE, RYOTA OTSUBO
WHIMSICOTT, RYOTA OTSUBO
Porygon2, CHRISTOPHER KAN
Tapu Koko, CHRISTOPHER KAN
Gyarados, CHRISTOPHER KAN
Arcanine, CHRISTOPHER KAN
Garchomp, CHRISTOPHER KAN
Snorlax, CHRISTOPHER KAN
TAPU LELE, RACHEL ANNAND
BUZZWOLE, RACHEL ANNAND
NIHILEGO, RACHEL ANNAND
ARCANINE, RACHEL ANNAND
DRIFBLIM, RACHEL ANNAND
SNORLAX, RACHEL ANNAND
Tapu Bulu, ESMOND LEUNG
CELESTEELA, ESMOND LEUNG
ARCANINE, ESMOND LEUNG
ARAQUANID, ESMOND LEUNG
PORYGON2, ESMOND LEUNG
ALOLAN MUK, ESMOND LEUNG
TAPU KOKO, CHRISTOPHER KAN
ARCANINE, CHRISTOPHER KAN
GYARADOS, CHRISTOPHER KAN
GARCHOMP, CHRISTOPHER KAN
PORYGON2, CHRISTOPHER KAN
SNORLAX, CHRISTOPHER KAN
BUZZWOLE, BENJAMIN TAN
GARCHOMP, BENJAMIN TAN
ARCANINE, BENJAMIN TAN
BRAVIARY, BENJAMIN TAN
NIHILEGO, BENJAMIN TAN
GIGALITH, BENJAMIN TAN
TAPU LELE, LIAM GILBERT
KARTANA, LIAM GILBERT
ARCANINE, LIAM GILBERT
GARCHOMP, LIAM GILBERT
DRIFBLIM, LIAM GILBERT
SNORLAX, LIAM GILBERT
HARIYAMA, ALEXIS PICHARDO
GIGALITH, ALEXIS PICHARDO
ALOLAN MAROWAK, ALEXIS PICHARDO
GARCHOMP, ALEXIS PICHARDO
TAPU LELE, ALEXIS PICHARDO
TAPU BULU, ANDREW NOWAK
NIHILEGO, ANDREW NOWAK
PHEROMOSA, ANDREW NOWAK
ARCANINE, ANDREW NOWAK
HARIYAMA, ANDREW NOWAK
ARAQUANID, ANDREW NOWAK
TAPU KOKO, DANIEL DOS SANTOS
TAPU LELE, DANIEL DOS SANTOS
ARCANINE, DANIEL DOS SANTOS
GARCHOMP, DANIEL DOS SANTOS
NIHILEGO, DANIEL DOS SANTOS
MANDIBUZZ, DANIEL DOS SANTOS
TAPU FINI, JUSTIN BURNS
NIHILEGO, JUSTIN BURNS
ARCANINE, JUSTIN BURNS
KARTANA, JUSTIN BURNS
PORYGON2, JUSTIN BURNS
GIGALITH, JUSTIN BURNS
TAPU KOKO, DAVID KOUTESH
TAPU LELE, DAVID KOUTESH
ARCANINE, DAVID KOUTESH
BUZZWOLE, DAVID KOUTESH
NIHILEGO, DAVID KOUTESH
DRIFBLIM, DAVID KOUTESH
TAPU KOKO, NELSON LIM
TAPU LELE, NELSON LIM
KARTANA, NELSON LIM
ARCANINE, NELSON LIM
PORYGON2, NELSON LIM
GIGALITH, NELSON LIM
TAPU LELE, KELVIN QUISHPE
XURKITREE, KELVIN QUISHPE
ARCANINE, KELVIN QUISHPE
DRIFBLIM, KELVIN QUISHPE
PORYGON2, KELVIN QUISHPE
MUDSDALE, KELVIN QUISHPE
TAPU KOKO, JULIO FUENTES
ALOLAN RAICHU, JULIO FUENTES
GARCHOMP, JULIO FUENTES
ARCANINE, JULIO FUENTES
MURKROW, JULIO FUENTES
ARAQUANID, JULIO FUENTES
TAPU KOKO, ERIC RIOS
TAPU LELE, ERIC RIOS
ARCANINE, ERIC RIOS
GASTRODON, ERIC RIOS
PORYGON2, ERIC RIOS
ARAQUANID, ERIC RIOS
TAPU KOKO, MARTIN GAJDOSZ
CELESTEELA,MARTIN GAJDOSZ
ARCANINE, MARTIN GAJDOSZ
GARCHOMP, MARTIN GAJDOSZ
ALOLAN NINETALES, MARTIN GAJDOSZ
SNORLAX, MARTIN GAJDOSZ
TAPU LELE, SAM PANDELIS
XURKITREE, SAM PANDELIS
ARCANINE, SAM PANDELIS
MANDIBUZZ, SAM PANDELIS
GARCHOMP, SAM PANDELIS
ALOLAN NINETALES, SAM PANDELIS
TAPU KOKO, PAUL RUIZ
SALAMENCE, PAUL RUIZ
MAROWAK, PAUL RUIZ
CELESTEELA, PAUL RUIZ
ALOLAN PERSIAN, PAUL RUIZ
SNORLAX, PAUL RUIZ
TAPU KOKO, PAUL CHUA
ALOLAN NINETALES, PAUL CHUA
ARCANINE, PAUL CHUA
CELESTEELA, PAUL CHUA
GARCHOMP, PAUL CHUA
SNORLAX, PAUL CHUA
TAPU KOKO, CESAR REYES
MIMIKYU, CESAR REYES
ARCANINE, CESAR REYES
CELESTEELA, CESAR REYES
GARCHOMP, CESAR REYES
SNORLAX, CESAR REYES
TAPU KOKO, LUKAS MULLER
KARTANA, LUKAS MULLER
ARCANINE, LUKAS MULLER
GASTRODON, LUKAS MULLER
PORYGON2, LUKAS MULLER
GIGALITH, LUKAS MULLER
TAPU KOKO, DUF JENN
CELESTEELA, DUF JENN
ARCANINE, DUF JENN
TAPU FINI, DUF JENN
GARCHOMP, DUF JENN
SNORLAX, DUF JENN
TAPU KOKO, JASON AU YEUNG HO FAI
PELIPPER, JASON AU YEUNG HO FAI
GOLDUCK, JASON AU YEUNG HO FAI
BUZZWOLE, JASON AU YEUNG HO FAI
PORYGON2, JASON AU YEUNG HO FAI
ALOLAN MUK, JASON AU YEUNG HO FAI
TAPU KOKO, JAY TYRELL
TAPU LELE, JAY TYRELL
PHEROMOSA, JAY TYRELL
KARTANA, JAY TYRELL
GYARADOSE, JAY TYRELL
CEFABLE, JAY TYREL

