POKEMON,PLAYER
TAPU KOKO,JAMIE DIXON
TAPU LELE,JAMIE DIXON
ARCAININE,JAMIE DIXON
ALOLAN MUK,JAMIE DIXON
PORYGON2,JAMIE DIXON
MUDSDALE,JAMIE DIXON
TAPU KOKO,THOMAS PLATER
BUZZWOLE,THOMAS PLATER
PELIPPER,THOMAS PLATER
GOLDUCK,THOMAS PLATER
GARCHOMP,THOMAS PLATER
METAGROSS,THOMAS PLATER
TAPU KOKO,ARASH OMMATI
TAPU FINI,ARASH OMMATI
ARCAININE,ARASH OMMATI
CELESTEELA,ARASH OMMATI
GARCHOMP,ARASH OMMATI
WHIMSICOTT,ARASH OMMATI
INCINEROAR,ALEX GOMEZ
HO-OH,ALEX GOMEZ
KYOGRE,ALEX GOMEZ
LUDICOLO,ALEX GOMEZ
TOXICROAK,ALEX GOMEZ
FERROTHORN,ALEX GOMEZ
GROUDON,ALESSIO YURI BOSCHETTO
YVELTAL,ALESSIO YURI BOSCHETTO
INCINEROAR,ALESSIO YURI BOSCHETTO
TAPU KOKO,ALESSIO YURI BOSCHETTO
STAKATAKA,ALESSIO YURI BOSCHETTO
VENUSAUR,ALESSIO YURI BOSCHETTO
XERNEAS,LORENZO SEMERARO
LUNALA,LORENZO SEMERARO
INCINEROAR,LORENZO SEMERARO
TAPU KOKO,LORENZO SEMERARO
TOXICROAK,LORENZO SEMERARO
AMOONGUSS,LORENZO SEMERARO
KARTANA,PAUL CHUA
TAPU KOKO,PAUL CHUA
ARCANINE,PAUL CHUA
PORYGON2,PAUL CHUA
ARAQUANID,PAUL CHUA
ALOLAN MUK,PAUL CHUA
TAPU BULU,JOOHWAN KIM
TAPU LELE,JOOHWAN KIM
NIHILEGO,JOOHWAN KIM
TORKOAL,JOOHWAN KIM
LILLIGANT,JOOHWAN KIM
GYARADOS,JOOHWAN KIM
TAPU KOKO,IAN MCLAUGHLIN
CELESTEELA,IAN MCLAUGHLIN
NIHILEGO,IAN MCLAUGHLIN
INCINEROAR,IAN MCLAUGHLIN
GARCHOMP,IAN MCLAUGHLIN
GASTRODON,IAN MCLAUGHLIN
MEGA CHARIZARD Y,CEDRIC BERNIER
LANDORUS THERIAN,CEDRIC BERNIER
TAPU KOKO,CEDRIC BERNIER
AMOONGUSS,CEDRIC BERNIER
PORYGON2,CEDRIC BERNIER
TYRANITAR,CEDRIC BERNIER
MEGA METAGROSS,CHUPPA CROSS IV
MEGA TYRANITAR,CHUPPA CROSS IV
LANDORUS THERIAN,CHUPPA CROSS IV
TAPU FINI,CHUPPA CROSS IV
ZAPDOS,CHUPPA CROSS IV
AMOONGUSS,CHUPPA CROSS IV
MEGA CHARIZARD Y,CARSON CONFER
LANDORUS THERIAN,CARSON CONFER
KARTANA,CARSON CONFER
TAPU KOKO,CARSON CONFER
PORYGON2,CARSON CONFER
TYRANITAR,CARSON CONFER
AMOONGUSS,YUSEI MATSUNO
INCINEROAR,YUSEI MATSUNO
TAPU KOKO,YUSEI MATSUNO
MEGA SALAMENCE,YUSEI MATSUNO
GOTHITELLE,YUSEI MATSUNO
SNORLAX,YUSEI MATSUNO
MEGA SALAMENCE,PAUL RUIZ
KARTANA,PAUL RUIZ
INCINEROAR,PAUL RUIZ
TAPU KOKO,PAUL RUIZ
GASTRODON,PAUL RUIZ
SNORLAX,PAUL RUIZ
MEGA GENGAR,EMILIO FORBES
LANDORUS THERIAN,EMILIO FORBES
INCINEROAR,EMILIO FORBES
TAPU BULU,EMILIO FORBES
LATIAS,EMILIO FORBES
POLITOED,EMILIO FORBES
INCINEROAR,CHRISTOPHER KAN
TAPU FINI,CHRISTOPHER KAN
PORYGON2,CHRISTOPHER KAN
MEGA MANECTRIC,CHRISTOPHER KAN
LURANTIS,CHRISTOPHER KAN
SNORLAX,CHRISTOPHER KAN
MEGA GENGAR,MITCH KENDRICK
TAPU BULU,MITCH KENDRICK
INCINEROAR,MITCH KENDRICK
KOMMO-O,MITCH KENDRICK
WASH ROTOM,MITCH KENDRICK
WHIMSICOTT,MITCH KENDRICK
MEGA SALAMENCE,ALISTER SANDOVER
NIHILEGO,ALISTER SANDOVER
TAPU BULU,ALISTER SANDOVER
INCINEROAR,ALISTER SANDOVER
AEGISLASH,ALISTER SANDOVER
MILOTIC,ALISTER SANDOVER
TAPU KOKO,WONSEOK JUNG
GIGALITH,WONSEOK JUNG
KARTANA,WONSEOK JUNG
TAPU FINI,WONSEOK JUNG
ARCANINE,WONSEOK JUNG
PORYGON2,WONSEOK JUNG
TAPU LELE,SUWOONG JUNG
ALOLAN NINETALES,SUWOONG JUNG
MANDIBUZZ,SUWOONG JUNG
ARCANINE,SUWOONG JUNG
XURKITREE,SUWOONG JUNG
GARCHOMP,SUWOONG JUNG
MIMIKYU,DAEKYUNG OK
TAPU BULU,DAEKYUNG OK
ALOLAN MAROWAK,DAEKYUNG OK
ARAQUANID,DAEKYUNG OK
HARIYAMA,DAEKYUNG OK
PORYGON2,DAEKYUNG OK
MEGA GENGAR,JAMES BAEK
TAPU BULU,JAMES BAEK
KOMMO-O,JAMES BAEK
INCINEROAR,JAMES BAEK
CLEFAIRY,JAMES BAEK
AZUMARILL,JAMES BAEK
MEGA GENGAR,RAJAN BAL
VIRIZION,RAJAN BAL
TAPU FINI,RAJAN BAL
INCINEROAR,RAJAN BAL
MIMIKYU,RAJAN BAL
SNORLAX,RAJAN BAL
MEGA CHARIZARD Y,KEVIN SWASTEK
