PRIMAL GROUDON,NAOTO MIZOBUCHI
LUNALA,NAOTO MIZOBUCHI
MEGA SALAMENCE,NAOTO MIZOBUCHI
INCINEROAR,NAOTO MIZOBUCHI
TAPU FINI,NAOTO MIZOBUCHI
STAKATAKA,NAOTO MIZOBUCHI
PRIMAL GROUDON,HIROFUMI KIMURA
DUSK MANE NECROZMA,HIROFUMI KIMURA
MEGA SALAMENCE,HIROFUMI KIMURA
MEGA KANGASKHAN,HIROFUMI KIMURA
TAPU LELE,HIROFUMI KIMURA
UMBREON,HIROFUMI KIMURA
PRIMAL KYOGRE,JAMES BAEK
XERNEAS,JAMES BAEK
INCINEROAR,JAMES BAEK
TORNADUS,JAMES BAEK
KARTANA,JAMES BAEK
AMOONGUSS,JAMES BAEK
PRIMAL KYOGRE,WOLFE GLICK
MEGA RAYQUAZA,WOLFE GLICK
MEGA GENGAR,WOLFE GLICK
INCINEROAR,WOLFE GLICK
TAPU KOKO,WOLFE GLICK
CELESTEELA,WOLFE GLICK
PRIMAL KYOGRE,GRAHAM AMEDEE
LUNALA,GRAHAM AMEDEE
MEGA MEDICHAM,GRAHAM AMEDEE
TAPU KOKO,GRAHAM AMEDEE
TAPU LELE,GRAHAM AMEDEE
NIHILEGO,GRAHAM AMEDEE
MEGA RAYQUAZA,JEAN PAUL LOPEZ BUIZA
XERNEAS,JEAN PAUL LOPEZ BUIZA
INCINEROAR,JEAN PAUL LOPEZ BUIZA
TAPU KOKO,JEAN PAUL LOPEZ BUIZA
KARTANA,JEAN PAUL LOPEZ BUIZA
AMOONGUSS,JEAN PAUL LOPEZ BUIZA
XERNEAS,MARCO HEMANTHA KALADURA SILVA
LUNALA,MARCO HEMANTHA KALADURA SILVA
MEGA KANGASKHAN,MARCO HEMANTHA KALADURA SILVA
INCINEROAR,MARCO HEMANTHA KALADURA SILVA
TAPU FINI,MARCO HEMANTHA KALADURA SILVA
CROBAT,MARCO HEMANTHA KALADURA SILVA
PRIMAL GROUDON,DAVID KOUTESH
LUNALA,DAVID KOUTESH
MEGA MAWILE,DAVID KOUTESH
TAPU KOKO,DAVID KOUTESH
TAPU FINI,DAVID KOUTESH
JUMPLUFF,DAVID KOUTESH
PRIMAL KYOGRE,ALEXANDER BECKER
DUSK MANE NECROZMA,ALEXANDER BECKER
MEGA GENGAR,ALEXANDER BECKER
MEGA MANECTRIC,ALEXANDER BECKER
SHARPEDO,ALEXANDER BECKER
RIBOMBEE,ALEXANDER BECKER
PRIMAL GROUDON,RENZO NAVARRO
XERNEAS,RENZO NAVARRO
MEGA SALAMENCE,RENZO NAVARRO
INCINEROAR,RENZO NAVARRO
TAPU LELE,RENZO NAVARRO
AMOONGUSS,RENZO NAVARRO
PRIMAL KYOGRE,ESTEPHAN VALDEBENITO
LUNALA,ESTEPHAN VALDEBENITO
MEGA SALAMENCE,ESTEPHAN VALDEBENITO
TAPU KOKO,ESTEPHAN VALDEBENITO
STAKATAKA,ESTEPHAN VALDEBENITO
SALAZZLE,ESTEPHAN VALDEBENITO
PRIMAL KYOGRE,MATIAS DIAZ
