PLAYER, SLOT 1, SLOT 2, SLOT 3, SLOT 4, SLOT 5, SLOT 6
RYOTA OTSUBO, TAPU KOKO, TAPU FINI, ALOLAN MAROWAK, CELESTEELA, KROOKODILE, WHIMSICOTT
CHRISTOPHER KAN,  Porygon2, Tapu Koko, Gyarados, Arcanine, Garchomp, Snorlax
RACHEL ANNAND, TAPU LELE, BUZZWOLE, NIHILEGO, ARCANINE, DRIFBLIM, SNORLAX
Esmond Leung,Tapu Bulu, CELESTEELA, ARCANINE, ARAQUANID, PORYGON2, ALOLAN MUK
CHRISTOPHER KAN, TAPU KOKO, ARCANINE, GYARADOS, GARCHOMP, PORYGON2, SNORLAX
BENJAMIN TAN, BUZZWOLE, GARCHOMP, ARCANINE, BRAVIARY, NIHILEGO, GIGALITH
LIAM GILBERT, TAPU LELE, KARTANA, ARCANINE, GARCHOMP, DRIFBLIM, SNORLAX
ALEXIS PICHARDO, HARIYAMA, GIGALITH, ALOLAN MAROWAK, GARCHOMP, TAPU LELE
ANDREW NOWAK, TAPU BULU, NIHILEGO, PHEROMOSA, ARCANINE, HARIYAMA, ARAQUANID
DANIEL DOS SANTOS, TAPU KOKO, TAPU LELE, ARCANINE, GARCHOMP, NIHILEGO, MANDIBUZZ
JUSTIN BURNS, TAPU FINI, NIHILEGO, ARCANINE, KARTANA, PORYGON2, GIGALITH
DAVID KOUTESH, TAPU KOKO, TAPU LELE, ARCANINE, BUZZWOLE, NIHILEGO, DRIFBLIM
NELSON LIM, TAPU KOKO, TAPU LELE, KARTANA, ARCANINE, PORYGON2, GIGALITH
KELVIN QUISHPE, TAPU LELE, XURKITREE, ARCANINE, DRIFBLIM, PORYGON2, MUDSDALE
JULIO FUENTES, TAPU KOKO, ALOLAN RAICHU, GARCHOMP, ARCANINE, MURKROW, ARAQUANID
ERIC RIOS, TAPU KOKO, TAPU LELE, ARCANINE, GASTRODON, PORYGON2, ARAQUANID
MARTIN GAJDOSZ, TAPU KOKO, CELESTEELA, ARCANINE, GARCHOMP, ALOLAN NINETALES, SNORLAX
SAM PANDELIS, TAPU LELE, XURKITREE, ARCANINE, MANDIBUZZ, GARCHOMP, ALOLAN NINETALES
PAUL RUIZ, TAPU KOKO, SALAMENCE, MAROWAK, CELESTEELA, ALOLAN PERSIAN, SNORLAX,
PAUL CHUA, TAPU KOKO, ALOLAN NINETALES, ARCANINE, CELESTEELA, GARCHOMP, SNORLAX
CESAR REYES, TAPU KOKO, MIMIKYU, ARCANINE, CELESTEELA, GARCHOMP, SNORLAX
LUKAS MULLER, TAPU KOKO, KARTANA, ARCANINE, GASTRODON, PORYGON2, GIGALITH
DUF JENN, TAPU KOKO, CELESTEELA, ARCANINE, TAPU FINI, GARCHOMP, SNORLAX
JASON AU YEUNG HO FAI, TAPU KOKO, PELIPPER, GOLDUCK, BUZZWOLE, PORYGON2, ALOLAN MUK
JAY TYRELL, TAPU KOKO, TAPU LELE, PHEROMOSA, KARTANA, GYARADOSE, CEFABLE
